iter	RMSE
0	130.9139841
1	127.3578416
2	123.9684574
3	120.7920229
4	117.9424878
5	115.2336722
6	112.5534818
7	109.909619
8	107.4578472
9	105.5763037
10	103.3079759
11	101.2116851
12	99.39561873
13	97.46884734
14	95.61033175
15	93.84934945
16	92.26314313
17	90.5280002
18	88.74147497
19	87.39735631
20	85.89088949
21	84.52582319
22	83.1547445
23	82.11919275
24	80.95176225
25	80.07050987
26	78.69928317
27	77.66189389
28	76.58432335
29	75.49385745
30	74.67781468
31	73.67163076
32	72.9264433
33	72.21619783
34	71.56373217
35	70.46085544
36	69.8385665
37	69.31185469
38	68.59665663
39	67.63846595
40	67.1622866
41	66.54590344
42	65.79175825
43	65.38261446
44	65.01887537
45	64.41768121
46	63.67381835
47	62.98570226
48	62.62855855
49	62.29233987
50	62.09433186
51	61.67004254
52	61.20085101
53	60.9245626
54	60.65547806
55	60.12581338
56	59.97476395
57	59.37980502
58	59.23952316
59	59.04059435
60	58.54897903
61	58.29499997
62	58.16850256
63	57.92874873
64	57.58951339
65	57.48195923
66	57.00234949
67	56.63511051
68	56.46173213
69	56.35452759
70	56.21156299
71	55.87585614
72	55.77700008
73	55.66348482
74	55.40354508
75	55.06663689
76	54.90644859
77	54.79801463
78	54.69748635
79	54.59964312
80	54.44061426
81	54.34344997
82	54.16316348
83	53.64215002
84	53.55040086
85	53.4552246
86	53.06381441
87	52.68367601
88	52.57040471
89	52.37072902
90	52.27854627
91	52.196746
92	52.09321703
93	52.04319861
94	51.85823592
95	51.78858807
96	51.73587073
97	51.66001485
98	51.42706466
99	51.36579258
100	51.02458361
101	50.62515536
102	50.46097344
103	50.39924482
104	50.15334507
105	50.00690311
106	49.66253498
107	49.47043143
108	49.36871407
109	49.26782295
110	49.23768387
111	48.9912081
112	48.92295409
113	48.87355135
114	48.81570723
115	48.75029931
116	48.61864487
117	48.52577553
118	48.28894309
119	48.24612471
120	48.12631564
121	48.09369555
122	48.05747433
123	47.91311218
124	47.83979575
125	47.73895838
126	47.64442021
127	47.58166662
128	47.5375226
129	47.49928948
130	47.37162396
131	47.19588998
132	47.16139527
133	47.11870376
134	47.08216575
135	46.97925791
136	46.9296298
137	46.89754126
138	46.75212681
139	46.70497654
140	46.5821616
141	46.55379277
142	46.28538452
143	46.24629826
144	46.08887111
145	46.05614516
146	46.01403884
147	45.90958639
148	45.7578808
149	45.73067006
150	45.56398722
